image_path,product_height,product_length,product_width,unit
14\1434e124.jpg,196,51,45,centimeters
20\20c0fec5.jpg,18.5801,31.6738,16.4338,centimeters
ce\ce90c508.jpg,10.922,60.706,18.542,centimeters
a2\a2d2c872.jpg,19,115.5,42.5,centimeters
1e\1e00bd6c.jpg,1.0922,182.88,2.0066,centimeters
36\36b8f278.jpg,7.696,22.225,23.825,centimeters
77\77398330.jpg,1.016,12.446,6.096,centimeters
d2\d2e25eaf.jpg,5.4102,31.5976,5.4102,centimeters
bc\bcfd29b2.jpg,6.731,1.6002,1.6002,centimeters
79\799ef10c.jpg,0.762,10.922,9.144,centimeters
36\36ea13ff.jpg,26.0096,5.08,24.003,centimeters
32\3222e29e.jpg,23.114,6.6294,6.6294,centimeters
0e\0ea5f87f.jpg,17.78,5.08,5.08,centimeters
dc\dc0da6c0.jpg,3.9878,27.9908,24.511,centimeters
51\51f40e98.jpg,101.6,66.04,49.53,centimeters
b6\b633c0a4.jpg,1,20,15,centimeters
2b\2b5ad376.jpg,132.08,40.132,12.954,centimeters
59\59feaf89.jpg,4.191,9.6012,7.0104,centimeters
be\bef4aac9.jpg,17.78,53.34,7.62,centimeters
ef\ef8a9c69.jpg,13.5,19.5,13.5,centimeters
65\655a5fdc.jpg,7.62,203.2,137.16,centimeters
52\522aeb61.jpg,15.24,12.7,40.64,centimeters
8e\8ef75f5d.jpg,60.96,228.6,152.4,centimeters
24\24dabc07.jpg,20,10,20,centimeters
0c\0ce7fbb4.jpg,20,10,10,centimeters
e5\e5105baa.jpg,23.114,6.6294,6.6294,centimeters
a2\a25d97fb.jpg,116.84,182.88,66.04,centimeters
14\14e12a76.jpg,91.44,220.98,99.06,centimeters
26\26ca0d3d.jpg,10.16,5.08,7.62,centimeters
12\125385bc.jpg,2.54,15.24,2.54,centimeters
1e\1eb728db.jpg,20,10,20,centimeters
7d\7dde1b1e.jpg,10.16,119.38,17.78,centimeters
11\1109f5ea.jpg,2.54,259.08,274.32,centimeters
12\125669a8.jpg,38.1,38.1,5.08,centimeters
c6\c6ba083c.jpg,2.413,22.86,15.24,centimeters
ae\aec337b8.jpg,12.7,35.56,50.8,centimeters
0e\0efea8af.jpg,20.955,3.81,6.858,centimeters
9e\9e877eef.jpg,1.27,11.7094,6.096,centimeters
92\9204a060.jpg,10.16,46.99,24.13,centimeters
38\385a9ef2.jpg,106.68,52.578,30.48,centimeters
9e\9e97921e.jpg,113.538,65.532,70.866,centimeters
10\10011ec0.jpg,0.9906,13.97,13.97,centimeters
61\61de63c1.jpg,7.747,19.558,4.191,centimeters
20\20169e95.jpg,0.4,16,4,centimeters
e0\e00bf34e.jpg,5.08,203.2,193.04,centimeters
f6\f643019d.jpg,2.5908,16.256,8.8392,centimeters
67\67be8a94.jpg,82.042,155.956,75.946,centimeters
bd\bdd01c80.jpg,3.302,11.4046,7.8486,centimeters
3b\3b102e8e.jpg,17.78,5.08,5.08,centimeters
6b\6ba9eefc.jpg,13.462,2.413,3.556,centimeters
